name;version;manager;technology;status
SCHED;3.9.0;DG PRES ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
SDA;4.6.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;HTML/Java;PROD
mySearch;1.1.1;mrossi fgallone lliudvinaviciute ;Lucène - elasticsearch;PROD
CIBA;8.12.2;cadrian DG ITEC/EVOLUTION jjosserand fmoncel clemonias ;HTML/Java;PROD
SIMPLE;3.7.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;Java 2 (SE/EE),  XML;PROD
META;3.6.0;DG PRES ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;J2EE;PROD
TELES;;;;INCONNU
TOP;6.4.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;Oracle/JAVA/J2EE/XML/C/JNI;PROD
TORIS;9.1.1;DG PRES ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;J2EE;PROD
Trilogue Table Editor;0;DG IPOL galari ;J2EE, Hibernate, Spring, ORACLE;DV
XIDOC;4.4.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;Oracle/Java;PROD
XML4EP Library;3.0.3.7;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;JAVA;PROD
Xenat;;clemonias ;;PROD
